PatientSeries,Basal Cells,Organoids,Early Tumors,Transitional Tumors,Endpoint Tumors (ASCL2+),Endpoint Tumors (ASCL1+)
P1,2.704606413,4.112141293,12.4741678,14.37047616,14.72560673,
P2,2.146850696,2.971129654,11.28536575,8.009491623,12.44298252,11.84711989
P3,0.939828359,0.0,5.594850075,5.242350984,0.0,
P4,2.813811968,3.253475007,7.615400112,11.8872977,13.77361995,
P5,0.0,0.0,3.820076821,0.0,7.259929649,6.327999866
P6,4.220360914,5.415805981,9.207686933,8.215488347,14.38474496,12.49116334
P7,3.740128839,4.436561644,13.91537359,14.91101099,15.1105798,14.84422825
P8,3.290099967,3.481040556,10.38503137,8.993075379,14.29586629,11.55599393
P9,5.799494043,2.830640695,9.876635734,10.56002162,13.58777793,
P10,3.609778597,2.833962778,11.59029792,15.39961336,3.233458623,
