PatientSeries,Basal Cells,Organoids,Early Tumors,Transitional Tumors,Endpoint Tumors (ASCL2+),Endpoint Tumors (ASCL1+)
P1,11.16679903,10.94281753,10.79562443,10.89555294,11.35817183,
P2,11.34551331,11.03317574,10.65586493,11.52283959,11.45097825,11.49000857
P3,11.59342497,11.2905631,10.83370375,11.5324639,11.68505637,
P4,11.71548236,11.52340655,11.02034989,10.73670388,10.95551391,
P5,11.45979768,11.60430447,11.24722154,11.09495874,11.76491674,11.72737266
P6,11.81091524,11.50662302,11.25635625,11.50929447,11.54310062,11.32741645
P7,11.89273671,11.74163884,11.77465736,11.58271161,11.54555322,11.61190661
P8,12.02857792,12.15284755,11.59844067,11.4066403,11.90463695,12.09240425
P9,12.21432346,11.73452859,11.66856991,11.83151912,11.88816415,
P10,12.02060283,11.98559176,11.20628339,11.06581987,11.87418119,
