Gene,index
Slc16a12,0
Podnl1,1
Arid3c,2
Irf6,3
Myo6,4
Cilp2,5
Npr3,6
Fbxl19,7
Dpf1,8
Sh3bp1,9
Acss3,10
Ldhd,11
Syce2,12
Kcnh3,13
Slc9a3r2,14
Txndc16,15
Slc25a23,16
Mmp17,17
Alcam,18
Mypop,19
Asah1,20
Enpep,21
Il17rd,22
Gpc2,23
Epha4,24
Trnp1,25
Poldip3,26
Smarcd1,27
Septin5,28
Adam11,29
Ppargc1a,30
Clmn,31
Stra6,32
Plvap,33
Lcn2,34
Brsk1,35
Tex101,36
Pim2,37
Nlgn2,38
Npnt,39
Syngap1,40
Cbarp,41
Col1a1,42
Frmd4b,43
Tfec,44
Dlgap3,45
Fndc4,46
Diras2,47
Vps26a,48
Grik5,49
Ltk,50
Slc30a3,51
Ranbp2,52
Myh10,53
Adgrg3,54
Hoxc11,55
Calcoco2,56
Arsi,57
Ptpn6,58
Prrx2,59
Rcor2,60
Tpm2,61
Uck2,62
Batf3,63
Tbx15,64
Ddn,65
Sim2,66
Avil,67
Kalrn,68
B4galt3,69
Vim,70
Ret,71
Tcf24,72
Glipr2,73
Agap2,74
Espn,75
Ppp1r1b,76
Wnt4,77
Nt5e,78
Slc17a7,79
Hnrnpl,80
Cacng7,81
Cd68,82
Igf2bp1,83
Ndrg2,84
Irf5,85
Prdx2,86
Fbxl14,87
Pgk1,88
Reep6,89
Efna3,90
Scarf2,91
Sohlh2,92
Celf5,93
Cadm4,94
Cyp2s1,95
Dbn1,96
Hnrnpm,97
Map4k1,98
Npr2,99
Fmod,100
Sord,101
Prr5,102
Gfer,103
Spryd7,104
Dstn,105
Zcwpw1,106
Flnc,107
Pcsk4,108
Nckipsd,109
Lurap1l,110
Ccdc136,111
Igsf11,112
Dpysl5,113
Ccdc85c,114
Rfng,115
Crnde,116
Tekt2,117
Large2,118
Tubg2,119
Ankrd35,120
Agmo,121
Ecd,122
Wnt1,123
Mlkl,124
Bmp7,125
Rnf17,126
Mdfi,127
Slc2a3,128
Hsd17b1,129
Sirpa,130
Hoxc13,131
Mpzl1,132
Mafa,133
Hoxc5,134
Rtn4rl1,135
Tcea3,136
Trim62,137
Aig1,138
Igf2,139
Slc16a14,140
Ggh,141
Ciart,142
Pard6g,143
Zfta,144
Ntn3,145
Wnt5b,146
Pgf,147
Krt17,148
Stab1,149
Ninl,150
Sec14l4,151
Osr2,152
Dact3,153
Sf3b2,154
Arhgap8,155
Rspo1,156
Foxa3,157
Higd1a,158
Glo1,159
Mid1,160
Krt19,161
Sp6,162
Hic2,163
Sgk2,164
Folr1,165
Serping1,166
Bcam,167
Cand2,168
Fes,169
Dusp2,170
Arhgdib,171
Cracd,172
Bin2,173
Caskin1,174
Nr5a1,175
Dnajc9,176
Igfbp2,177
Rrad,178
Tcf7,179
Sult1c2,180
Radil,181
Vill,182
Sptbn4,183
Vps4a,184
Megf6,185
Nxph4,186
Gapdh,187
Mkrn1,188
Fam162a,189
Ccnd2,190
Rab11fip4,191
Igsf3,192
Barx2,193
Dhcr24,194
St6gal1,195
Apln,196
Ccdc92,197
Grin1,198
Bcl11a,199
Dpf3,200
Lrrc23,201
Nrtn,202
Ndufa4l2,203
Slc24a3,204
Lct,205
Adgrl1,206
Eps8l2,207
Bcl2l11,208
Bcar1,209
Hhip,210
Tmem151b,211
Sema4d,212
Amhr2,213
Pfkl,214
Zfp57,215
Dlx1,216
Ostn,217
Prph,218
Anp32a,219
Stac2,220
Angel1,221
Dock11,222
Fbxo10,223
Cib2,224
Lrrc73,225
Fbxo17,226
Shf,227
Vax2,228
Cd164l2,229
Igsf5,230
Samd14,231
Rasgrp4,232
Abcg4,233
Ube2l6,234
Mcm6,235
Card10,236
Ap1m2,237
Ripply3,238
Sema6b,239
Ptpn18,240
Scube3,241
Fam117a,242
Cerox1,243
Tiam1,244
Ckb,245
Rpia,246
Plekhg6,247
Thap11,248
Pde1a,249
Crlf1,250
Tcf15,251
Mmp2,252
Rims3,253
Gng2,254
Tradd,255
Spata2l,256
Stard10,257
Lhx6,258
Eva1c,259
Tead2,260
Esrrb,261
Nup50,262
Gpr157,263
Tfrc,264
Tpi1,265
Slc29a4,266
Ppbp,267
Rassf2,268
Prss16,269
Dnajc15,270
Tmem121,271
Nckap1l,272
Rtraf,273
Tacstd2,274
Cgref1,275
