Gene,P_Value
Slc16a12,3.33184346779092e-09
Podnl1,8.824178387989431e-09
Arid3c,1.79485645235289e-08
Irf6,1.91487904421805e-08
Myo6,3.20382860241608e-08
Cilp2,6.12693450419144e-08
Npr3,7.17553704232543e-08
Fbxl19,7.63110777901588e-08
Dpf1,1.40846254326199e-07
Sh3bp1,2.48509966938038e-07
Acss3,2.54854783054981e-07
Ldhd,1.66024521186525e-06
Syce2,2.80754123416216e-06
Kcnh3,3.3654733029298e-06
Slc9a3r2,3.95219803550617e-06
Txndc16,5.04790142075162e-06
Slc25a23,5.44481137421116e-06
Mmp17,6.51221761482912e-06
Alcam,8.79230009676046e-06
Mypop,9.45813972663689e-06
Asah1,1.0216569009236e-05
Enpep,1.8394858114501e-05
Il17rd,1.88572349737459e-05
Gpc2,1.92418247455528e-05
Epha4,2.03515191969927e-05
Trnp1,2.40369311278466e-05
Poldip3,2.59376909478304e-05
Smarcd1,2.9611326255008e-05
Septin5,3.01077944212524e-05
Adam11,3.19116986602364e-05
Ppargc1a,3.54428625188863e-05
Clmn,3.75510377318422e-05
Stra6,4.3430673828504e-05
Plvap,4.83520655450986e-05
Lcn2,5.56431252065615e-05
Brsk1,6.05008470814239e-05
Tex101,8.61874350442937e-05
Pim2,9.94637910949336e-05
Nlgn2,0.0001021498007889
Npnt,0.000164369726325
Syngap1,0.00021823973949
Cbarp,0.000234216780011
Col1a1,0.0002350112526988
Frmd4b,0.0003142417182793
Tfec,0.0003182274445293
Dlgap3,0.0003279908201386
Fndc4,0.0003289236403249
Diras2,0.0003521444812678
Vps26a,0.0004016283051576
Grik5,0.0005191522460245
Ltk,0.0005251980056831
Slc30a3,0.0005287825772829
Ranbp2,0.0005893682731686
Myh10,0.0005918825705406
Adgrg3,0.0005996786630937
Hoxc11,0.0006105493141697
Calcoco2,0.0007305828384271
Arsi,0.0007609686277351
Ptpn6,0.0008386764895625
Prrx2,0.0011528418555759
Rcor2,0.0011623247103931
Tpm2,0.0012278465359395
Uck2,0.0014258363238834
Batf3,0.0016016223016089
Tbx15,0.0017219035710183
Ddn,0.0018471867699423
Sim2,0.0018913843316001
Avil,0.0018959959001303
Kalrn,0.0019683406506813
B4galt3,0.0021275867502166
Vim,0.0021909231727548
Ret,0.002192715169186
Tcf24,0.0023148180314867
