"","gene_name","higher_survival_group"
"1","SCARF2","Low"
"2","REEP6","Low"
"3","GFER","Low"
"4","B4GALT3","Low"
"5","SH3BP1","Low"
"6","ARID3C","Low"
"7","RFNG","Low"
"8","NLGN2","Low"
"9","SYCE2","Low"
"10","ZCWPW1","Low"
"11","PRRX2","Low"
"12","LDHD","High"
"13","ARSI","Low"
"14","PLVAP","High"
"15","TRIM62","High"
"16","PTPN6","Low"
"17","PGF","Low"
"18","MYPOP","Low"
"19","HOXC11","Low"
"20","GRIK5","Low"
"21","BRSK1","Low"
"22","CRNDE","Low"
"23","DPF1","Low"
"24","ADAM11","Low"
"25","HOXC5","Low"
"26","BATF3","Low"
"27","CBARP","Low"
"28","MPZL1","Low"
"29","DLGAP3","Low"
"30","MAP4K1","Low"
"31","FNDC4","Low"
"32","PCSK4","Low"
"33","FBXL14","High"
"34","RCOR2","Low"
"35","NCKIPSD","High"
"36","CADM4","Low"
"37","ECD","High"
"38","IRF6","High"
"39","MDFI","Low"
"40","MAFA","High"
"41","WNT5B","Low"
"42","UCK2","Low"
"43","SYNGAP1","Low"
"44","TRNP1","Low"
"45","MLKL","Low"
"46","WNT1","Low"
"47","TUBG2","Low"
"48","DDN","Low"
"49","NTN3","Low"
"50","IRF5","Low"
"51","LTK","Low"
"52","SMARCD1","Low"
"53","GPC2","Low"
"54","FBXL19","Low"
"55","NPR3","High"
"56","ZFTA","High"
"57","CELF5","Low"
"58","PIM2","Low"
"59","CCDC136","Low"
"60","CALCOCO2","High"
"61","AGAP2","Low"
"62","LARGE2","Low"
"63","PGK1","High"
"64","HOXC13","Low"
"65","NDRG2","High"
"66","SLC9A3R2","High"
"67","SLC30A3","Low"
"68","GLIPR2","Low"
"69","SEPTIN5","Low"
"70","ESPN","High"
"71","TCEA3","High"
"72","TPM2","Low"
"73","NPR2","Low"
"74","PPP1R1B","Low"
"75","ADGRG3","Low"
"76","SLC17A7","Low"
"77","CIART","High"
"78","TBX15","Low"
"79","DPYSL5","Low"
"80","DIRAS2","High"
"81","TEKT2","High"
"82","CYP2S1","Low"
"83","EFNA3","Low"
"84","HSD17B1","Low"
"85","CCDC85C","High"
"86","VPS26A","High"
"87","IGSF11","Low"
"88","ENPEP","High"
"89","PPARGC1A","High"
"90","LCN2","Low"
"91","SIM2","Low"
"92","CD68","Low"
"93","SIRPA","Low"
"94","TFEC","High"
"95","ACSS3","High"
"96","AVIL","Low"
"97","SLC16A12","High"
"98","AIG1","High"
"99","STRA6","Low"
"100","SPRYD7","High"
"101","KALRN","High"
"102","RET","Low"
"103","RTN4RL1","Low"
"104","RNF17","Low"
"105","FLNC","High"
"106","CILP2","Low"
"107","LURAP1L","High"
"108","PODNL1","Low"
"109","FRMD4B","High"
"110","BMP7","High"
"111","SLC16A14","High"
"112","SLC2A3","Low"
"113","SOHLH2","Low"
"114","IGF2","High"
"115","SLC25A23","High"
"116","FMOD","Low"
"117","TEX101","Low"
"118","MMP17","Low"
"119","TCF24","Low"
"120","IL17RD","High"
"121","KCNH3","Low"
"122","CACNG7","Low"
"123","NPNT","High"
"124","PARD6G","High"
"125","ALCAM","High"
"126","AGMO","High"
"127","CLMN","High"
"128","PRR5","Low"
"129","TXNDC16","High"
"130","MYH10","High"
"131","WNT4","Low"
"132","ANKRD35","Low"
"133","NT5E","High"
"134","EPHA4","High"
"135","GGH","High"
"136","IGF2BP1","Low"
"137","VIM","Low"
"138","DSTN","High"
"139","HNRNPM","High"
"140","COL1A1","Low"
"141","POLDIP3","High"
"142","HNRNPL","Low"
"143","DBN1","Low"
"144","PRDX2","High"
"145","ASAH1","High"
"146","MYO6","High"
"147","RANBP2","High"
"148","SORD","High"
