"gene_name","p_value"
"MME",0.233228731584882
"GREB1",4.44373550175741e-07
"IFI44",0.313992637156726
"HSPA12A",7.78291547883548e-06
"RNF130",6.289975089545e-105
"P2RY14",0.125673221836886
"XAF1",0.00608990409382918
"OAS2",0.418394613134674
"NCAM1",0.32800813168324
"GHR",0.277197309348494
"ATP2B4",1.3748635852355e-40
"PDE5A",4.852930950815e-19
"NLRC5",3.78262395995698e-08
"MINAR2",NA
"ABCC2",0.120331457522053
"USP18",8.62303031052057e-64
"MAGED2",0.970676923194601
"PTN",5.32787781020593e-20
"ICAM1",4.64804977198109e-09
"KCNJ16",1.80122366501712e-12
"MAMDC2",5.16092469675687e-29
"PCYT1B",0.000329090640766119
"AFP",7.01847669026503e-08
"ESRP1",2.96493909748875e-15
"LRRC31",0.0443984962873263
"C3",0.035477584564624
"IFIT1",0.147654445101414
"SELENOP",0.12912668069285
"IRF7",0.286269414184261
"GBP2",8.12323908004379e-07
"ZBP1",1.48775049260092e-49
"CFH",5.6649340855951e-26
"RTP4",6.46406307299516e-05
"PLA2G4A",0.00104878780380328
"HEPH",2.62899720743445e-31
"FMO2",0.00698848164798842
"TSHR",1.58350397811355e-15
"BANK1",2.23334826699375e-23
"RORB",1.40875651020141e-18
"HSPA1A",9.85428146595718e-36
"CLEC11A",2.08377870935801e-83
"GBP3",0.213764218796665
"SPATS2L",0.141919221006737
"ARHGEF3",0.00464700692866525
"KRT20",1.14020965685757e-22
"SLAMF8",8.82810091575841e-77
"AQP5",1.98476328713985e-38
"RIPK3",2.10140472998476e-47
"GFRA1",3.82904810658814e-10
"BCO1",1.84965632087147e-25
"PTGIS",0.0547761304604581
"NRP1",2.36299531617102e-26
"LOX",0.0302984219315415
"FXYD2",0.420338542234055
"GTPBP10",1.70370488400587e-73
"SNCA",2.33854630265252e-43
"ISLR",7.52785730063217e-06
"SLC7A3",1.53006145847338e-10
"THSD7A",1.53785168035774e-56
