Gene,Ensembl_ID,Category,Description
Mme,ENSMUSG00000027820,Membrane Proteins & Endocytosis,Membrane metallo-endopeptidase involved in peptide degradation and cell surface receptor regulation; may influence statin uptake.
Greb1,ENSMUSG00000036523,Gene expression,Estrogen-regulated gene involved in hormone-responsive growth; may impact transcriptional response to statin treatment.
Ifi44,ENSMUSG00000028037,Inflammation & Immune Modulation,Interferon-induced protein involved in antiviral defense; associated with immune activation and inflammation.
Hspa12a,ENSMUSG00000025092,Ubiquitination & Protein Stability,Atypical heat shock protein potentially involved in stress response and proteostasis; may affect cellular stress handling under statins.
Rnf130,ENSMUSG00000020376,Ubiquitination & Protein Stability,E3 ubiquitin ligase implicated in immune signaling and protein degradation pathways.
P2ry14,ENSMUSG00000036381,Cell Adhesion & Signaling,G-protein-coupled receptor responsive to UDP-sugars; modulates inflammatory signaling and cell-cell interactions.
Xlr3a,ENSMUSG00000057836,None,X-linked lymphocyte-regulated gene with unclear role in statin response or related cellular processes.
Xaf1,ENSMUSG00000040483,Apoptosis / Cell Cycle Regulation,Promotes apoptosis through antagonism of XIAP; may enhance statin-induced cancer cell death.
Oas2,ENSMUSG00000032690,Inflammation & Immune Modulation,Oligoadenylate synthase activated by interferons; mediates immune responses against stress and infection.
Ncam1,ENSMUSG00000039542,Cell Adhesion & Signaling,Mediates cell-cell adhesion and signaling in development and cancer microenvironments.
Ghr,ENSMUSG00000055737,Cell Survival/Proliferation,Growth hormone receptor; activates JAK/STAT and PI3K pathways promoting survival and proliferation.
Atp2b4,ENSMUSG00000026463,Membrane Proteins & Endocytosis,Plasma membrane calcium transporter; influences cellular calcium homeostasis and signaling.
Platr3,ENSMUSG00000084762,None,
Pde5a,ENSMUSG00000053965,"Kinases, Transcription Factors, and Protein Degradation",Phosphodiesterase involved in cGMP breakdown; modulates signaling and may affect cellular response to stress.
Car6,ENSMUSG00000028972,Metabolism,Carbonic anhydrase involved in pH regulation and bicarbonate transport; linked to metabolic adaptation.
Nlrc5,ENSMUSG00000074151,Inflammation & Immune Modulation,NOD-like receptor involved in MHC class I gene regulation; impacts immune modulation.
Minar2,ENSMUSG00000050875,None,Poorly characterized membrane protein; role in statin response not currently established.
Abcc2,ENSMUSG00000025194,Membrane Proteins & Endocytosis,ATP-binding cassette transporter; involved in xenobiotic efflux and drug resistance.
Usp18,ENSMUSG00000030107,Ubiquitination & Protein Stability,Deubiquitinating enzyme regulating interferon signaling and ISGylation.
Maged2,ENSMUSG00000025268,None,
Ptn,ENSMUSG00000029838,Cell Survival/Proliferation,"Growth factor promoting survival, proliferation, and angiogenesis in tumors."
Icam1,ENSMUSG00000037405,None,
Apol9b,ENSMUSG00000068246,None,
Lncenc1,ENSMUSG00000078952,None,Long non-coding RNA; function in cellular signaling or statin response is not well understood.
Kcnj16,ENSMUSG00000051497,None,
Mamdc2,ENSMUSG00000033207,Cell Adhesion & Signaling,Membrane-associated mucin-domain protein implicated in cell adhesion and signaling.
Pcyt1b,ENSMUSG00000035246,None,
Gm43549,ENSMUSG00000106334,None,Predicted non-coding gene with unknown functional relevance to statin response.
Afp,ENSMUSG00000054932,Gene expression,Fetal plasma protein marker involved in liver development; reflects transcriptional regulation.
Esrp1,ENSMUSG00000040728,Gene expression,Splicing regulator involved in epithelial cell-specific gene expression programs.
Lrrc31,ENSMUSG00000074653,Gene expression,Leucine-rich repeat protein possibly involved in transcriptional regulation and developmental processes.
C3,ENSMUSG00000024164,Inflammation & Immune Modulation,Central complement component in immune signaling; contributes to tumor-associated inflammation.
Ifit1,ENSMUSG00000034459,None,
