gene_id	symbol	name	cytoband	type	num_cohort_ssm_affected_cases	num_cohort_ssm_cases	cohort_ssm_affected_cases_percentage	num_gdc_ssm_affected_cases	num_gdc_ssm_cases	gdc_ssm_affected_cases_percentage	num_cohort_cnv_cases	num_cohort_cnv_gain_cases	cohort_cnv_gain_cases_percentage	num_cohort_cnv_loss_cases	cohort_cnv_loss_cases_percentage	num_mutations	annotations
ENSG00000134086	VHL	von Hippel-Lindau tumor suppressor	3p25.3	protein_coding	171	374	45.72	394	16477	2.39	517	2	0.39	443	85.69	144	Cancer Gene Census
ENSG00000163939	PBRM1	polybromo 1	3p21.1	protein_coding	154	374	41.18	579	16477	3.51	517	1	0.19	442	85.49	156	Cancer Gene Census
ENSG00000181555	SETD2	SET domain containing 2, histone lysine methyltransferase	3p21.31	protein_coding	46	374	12.30	635	16477	3.85	517	1	0.19	443	85.69	49	Cancer Gene Census
ENSG00000163930	BAP1	BRCA1 associated protein 1	3p21.1	protein_coding	41	374	10.96	332	16477	2.01	517	1	0.19	442	85.49	40	Cancer Gene Census
ENSG00000181143	MUC16	mucin 16, cell surface associated	19p13.2	protein_coding	37	374	9.89	2895	16477	17.57	517	27	5.22	34	6.58	42	Cancer Gene Census
ENSG00000198793	MTOR	mechanistic target of rapamycin kinase	1p36.22	protein_coding	28	374	7.49	515	16477	3.13	517	3	0.58	97	18.76	28	Cancer Gene Census
ENSG00000126012	KDM5C	lysine demethylase 5C	Xp11.22	protein_coding	21	374	5.61	386	16477	2.34	517	0	0.00	0	0.00	23	Cancer Gene Census
ENSG00000055609	KMT2C	lysine methyltransferase 2C	7q36.1	protein_coding	18	374	4.81	1062	16477	6.45	517	142	27.47	6	1.16	18	Cancer Gene Census
ENSG00000164796	CSMD3	CUB and Sushi multiple domains 3	8q23.3	protein_coding	18	374	4.81	1987	16477	12.06	517	56	10.83	42	8.12	20	Cancer Gene Census
ENSG00000149311	ATM	ATM serine/threonine kinase	11q22.3	protein_coding	17	374	4.55	759	16477	4.61	517	19	3.68	21	4.06	21	Cancer Gene Census
ENSG00000065526	SPEN	spen family transcriptional repressor	1p36.21, 1p36.13	protein_coding	15	374	4.01	628	16477	3.81	517	2	0.39	97	18.76	18	Cancer Gene Census
ENSG00000168702	LRP1B	LDL receptor related protein 1B	2q22.1, 2q22.2	protein_coding	14	374	3.74	1781	16477	10.81	517	59	11.41	15	2.90	15	Cancer Gene Census
ENSG00000117713	ARID1A	AT-rich interaction domain 1A	1p36.11	protein_coding	13	374	3.48	1151	16477	6.99	517	5	0.97	93	17.99	13	Cancer Gene Census
ENSG00000171862	PTEN	phosphatase and tensin homolog	10q23.31	protein_coding	13	374	3.48	1260	16477	7.65	517	8	1.55	85	16.44	14	Cancer Gene Census
ENSG00000047936	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	6q22.1	protein_coding	12	374	3.21	611	16477	3.71	517	7	1.35	132	25.53	12	Cancer Gene Census
ENSG00000127616	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	19p13.2	protein_coding	12	374	3.21	581	16477	3.53	517	26	5.03	32	6.19	12	Cancer Gene Census
ENSG00000167548	KMT2D	lysine methyltransferase 2D	12q13.12	protein_coding	12	374	3.21	1334	16477	8.10	517	89	17.21	4	0.77	14	Cancer Gene Census
ENSG00000083857	FAT1	FAT atypical cadherin 1	4q35.2	protein_coding	11	374	2.94	1065	16477	6.46	517	15	2.90	62	11.99	11	Cancer Gene Census
ENSG00000115760	BIRC6	baculoviral IAP repeat containing 6	2p22.3	protein_coding	11	374	2.94	757	16477	4.59	517	56	10.83	12	2.32	11	Cancer Gene Census
ENSG00000139618	BRCA2	BRCA2 DNA repair associated	13q13.1	protein_coding	11	374	2.94	569	16477	3.45	517	15	2.90	58	11.22	11	Cancer Gene Census
ENSG00000141510	TP53	tumor protein p53	17p13.1	protein_coding	11	374	2.94	4952	16477	30.05	517	17	3.29	49	9.48	11	Cancer Gene Census
ENSG00000165323	FAT3	FAT atypical cadherin 3	11q14.3	protein_coding	11	374	2.94	1436	16477	8.72	517	24	4.64	18	3.48	11	Cancer Gene Census
ENSG00000165671	NSD1	nuclear receptor binding SET domain protein 1	5q35.3	protein_coding	11	374	2.94	561	16477	3.40	517	290	56.09	4	0.77	11	Cancer Gene Census
ENSG00000101972	STAG2	stromal antigen 2	Xq25	protein_coding	10	374	2.67	398	16477	2.42	517	0	0.00	0	0.00	10	Cancer Gene Census
ENSG00000085224	ATRX	ATRX chromatin remodeler	Xq21.1	protein_coding	9	374	2.41	816	16477	4.95	517	0	0.00	0	0.00	9	Cancer Gene Census
ENSG00000100393	EP300	E1A binding protein p300	22q13.2	protein_coding	9	374	2.41	567	16477	3.44	517	17	3.29	29	5.61	9	Cancer Gene Census
ENSG00000127914	AKAP9	A-kinase anchoring protein 9	7q21.2	protein_coding	9	374	2.41	657	16477	3.99	517	142	27.47	4	0.77	10	Cancer Gene Census
ENSG00000130396	AFDN	afadin, adherens junction formation factor	6q27	protein_coding	9	374	2.41	417	16477	2.53	517	9	1.74	136	26.31	9	Cancer Gene Census
ENSG00000153201	RANBP2	RAN binding protein 2	2q13	protein_coding	9	374	2.41	533	16477	3.23	517	56	10.83	13	2.51	9	Cancer Gene Census
ENSG00000178568	ERBB4	erb-b2 receptor tyrosine kinase 4	2q34	protein_coding	9	374	2.41	672	16477	4.08	517	54	10.44	40	7.74	10	Cancer Gene Census
ENSG00000196159	FAT4	FAT atypical cadherin 4	4q28.1	protein_coding	9	374	2.41	1442	16477	8.75	517	6	1.16	56	10.83	10	Cancer Gene Census
ENSG00000041982	TNC	tenascin C	9q33.1	protein_coding	8	374	2.14	528	16477	3.20	517	10	1.93	110	21.28	8	Cancer Gene Census
ENSG00000085185	BCORL1	BCL6 corepressor like 1	Xq26.1	protein_coding	8	374	2.14	517	16477	3.14	517	0	0.00	0	0.00	8	Cancer Gene Census
ENSG00000141027	NCOR1	nuclear receptor corepressor 1	17p12, 17p11.2	protein_coding	8	374	2.14	538	16477	3.27	517	16	3.09	44	8.51	8	Cancer Gene Census
ENSG00000036257	CUL3	cullin 3	2q36.2	protein_coding	7	374	1.87	250	16477	1.52	517	51	9.86	47	9.09	7	Cancer Gene Census
ENSG00000047410	TPR	translocated promoter region, nuclear basket protein	1q31.1	protein_coding	7	374	1.87	463	16477	2.81	517	59	11.41	25	4.84	7	Cancer Gene Census
ENSG00000083168	KAT6A	lysine acetyltransferase 6A	8p11.21	protein_coding	7	374	1.87	415	16477	2.52	517	19	3.68	106	20.50	7	Cancer Gene Census
ENSG00000111642	CHD4	chromodomain helicase DNA binding protein 4	12p13.31	protein_coding	7	374	1.87	554	16477	3.36	517	88	17.02	9	1.74	7	Cancer Gene Census
ENSG00000118058	KMT2A	lysine methyltransferase 2A	11q23.3	protein_coding	7	374	1.87	685	16477	4.16	517	19	3.68	23	4.45	7	Cancer Gene Census
ENSG00000121741	ZMYM2	zinc finger MYM-type containing 2	13q12.11	protein_coding	7	374	1.87	288	16477	1.75	517	19	3.68	54	10.44	7	Cancer Gene Census
ENSG00000127329	PTPRB	protein tyrosine phosphatase receptor type B	12q15	protein_coding	7	374	1.87	632	16477	3.84	517	90	17.41	5	0.97	9	Cancer Gene Census
ENSG00000134250	NOTCH2	notch receptor 2	1p12	protein_coding	7	374	1.87	430	16477	2.61	517	12	2.32	51	9.86	7	Cancer Gene Census
ENSG00000167258	CDK12	cyclin dependent kinase 12	17q12	protein_coding	7	374	1.87	371	16477	2.25	517	22	4.26	30	5.80	7	Cancer Gene Census
ENSG00000177084	POLE	DNA polymerase epsilon, catalytic subunit	12q24.33	protein_coding	7	374	1.87	492	16477	2.99	517	79	15.28	13	2.51	7	Cancer Gene Census
ENSG00000186575	NF2	neurofibromin 2	22q12.2	protein_coding	7	374	1.87	198	16477	1.20	517	15	2.90	27	5.22	7	Cancer Gene Census
ENSG00000196090	PTPRT	protein tyrosine phosphatase receptor type T	20q12, 20q13.11	protein_coding	7	374	1.87	812	16477	4.93	517	75	14.51	0	0.00	8	Cancer Gene Census
ENSG00000196712	NF1	neurofibromin 1	17q11.2	protein_coding	7	374	1.87	883	16477	5.36	517	22	4.26	28	5.42	8	Cancer Gene Census
ENSG00000049618	ARID1B	AT-rich interaction domain 1B	6q25.3	protein_coding	6	374	1.60	478	16477	2.90	517	6	1.16	138	26.69	6	Cancer Gene Census
ENSG00000073282	TP63	tumor protein p63	3q28	protein_coding	6	374	1.60	402	16477	2.44	517	55	10.64	55	10.64	6	Cancer Gene Census
ENSG00000080824	HSP90AA1	heat shock protein 90 alpha family class A member 1	14q32.31	protein_coding	6	374	1.60	189	16477	1.15	517	5	0.97	193	37.33	6	Cancer Gene Census
ENSG00000100852	ARHGAP5	Rho GTPase activating protein 5	14q12	protein_coding	6	374	1.60	360	16477	2.18	517	8	1.55	180	34.82	6	Cancer Gene Census
ENSG00000103197	TSC2	TSC complex subunit 2	16p13.3	protein_coding	6	374	1.60	387	16477	2.35	517	58	11.22	59	11.41	7	Cancer Gene Census
ENSG00000118007	STAG1	stromal antigen 1	3q22.3	protein_coding	6	374	1.60	297	16477	1.80	517	47	9.09	70	13.54	6	Cancer Gene Census
ENSG00000125952	MAX	MYC associated factor X	14q23.3	protein_coding	6	374	1.60	142	16477	0.86	517	5	0.97	195	37.72	6	Cancer Gene Census
ENSG00000134982	APC	APC regulator of WNT signaling pathway	5q22.2	protein_coding	6	374	1.60	1079	16477	6.55	517	237	45.84	7	1.35	6	Cancer Gene Census
ENSG00000140836	ZFHX3	zinc finger homeobox 3	16q22.2, 16q22.3	protein_coding	6	374	1.60	835	16477	5.07	517	72	13.93	15	2.90	7	Cancer Gene Census
ENSG00000141367	CLTC	clathrin heavy chain	17q23.1	protein_coding	6	374	1.60	301	16477	1.83	517	30	5.80	24	4.64	6	Cancer Gene Census
ENSG00000143970	ASXL2	ASXL transcriptional regulator 2	2p23.3	protein_coding	6	374	1.60	343	16477	2.08	517	56	10.83	13	2.51	6	Cancer Gene Census
ENSG00000144218	AFF3	AF4/FMR2 family member 3	2q11.2	protein_coding	6	374	1.60	441	16477	2.68	517	58	11.22	13	2.51	6	Cancer Gene Census
ENSG00000157388	CACNA1D	calcium voltage-gated channel subunit alpha1 D	3p21.1	protein_coding	6	374	1.60	510	16477	3.10	517	1	0.19	427	82.59	7	Cancer Gene Census
ENSG00000168769	TET2	tet methylcytosine dioxygenase 2	4q24	protein_coding	6	374	1.60	334	16477	2.03	517	6	1.16	59	11.41	6	Cancer Gene Census
ENSG00000175054	ATR	ATR serine/threonine kinase	3q23	protein_coding	6	374	1.60	495	16477	3.00	517	50	9.67	65	12.57	6	Cancer Gene Census
ENSG00000183454	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	16p13.2	protein_coding	6	374	1.60	775	16477	4.70	517	79	15.28	6	1.16	6	Cancer Gene Census
ENSG00000257923	CUX1	cut like homeobox 1	7q22.1	protein_coding	6	374	1.60	490	16477	2.97	517	140	27.08	3	0.58	7	Cancer Gene Census
ENSG00000066032	CTNNA2	catenin alpha 2	2p12	protein_coding	5	374	1.34	667	16477	4.05	517	75	14.51	14	2.71	5	Cancer Gene Census
ENSG00000081237	PTPRC	protein tyrosine phosphatase receptor type C	1q31.3, 1q32.1	protein_coding	5	374	1.34	490	16477	2.97	517	52	10.06	29	5.61	6	Cancer Gene Census
ENSG00000100644	HIF1A	hypoxia inducible factor 1 subunit alpha	14q23.2	protein_coding	5	374	1.34	177	16477	1.07	517	5	0.97	196	37.91	5	Cancer Gene Census
ENSG00000104517	UBR5	ubiquitin protein ligase E3 component n-recognin 5	8q22.3	protein_coding	5	374	1.34	559	16477	3.39	517	48	9.28	48	9.28	5	Cancer Gene Census
ENSG00000105976	MET	MET proto-oncogene, receptor tyrosine kinase	7q31.2	protein_coding	5	374	1.34	350	16477	2.12	517	139	26.89	6	1.16	5	Cancer Gene Census
ENSG00000110713	NUP98	nucleoporin 98 and 96 precursor	11p15.4	protein_coding	5	374	1.34	327	16477	1.98	517	26	5.03	14	2.71	6	Cancer Gene Census
ENSG00000119535	CSF3R	colony stimulating factor 3 receptor	1p34.3	protein_coding	5	374	1.34	242	16477	1.47	517	6	1.16	73	14.12	5	Cancer Gene Census
ENSG00000119772	DNMT3A	DNA methyltransferase 3 alpha	2p23.3	protein_coding	5	374	1.34	336	16477	2.04	517	55	10.64	14	2.71	5	Cancer Gene Census
ENSG00000121879	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	3q26.32	protein_coding	5	374	1.34	1679	16477	10.19	517	60	11.61	51	9.86	5	Cancer Gene Census
ENSG00000128052	KDR	kinase insert domain receptor	4q12	protein_coding	5	374	1.34	501	16477	3.04	517	10	1.93	48	9.28	5	Cancer Gene Census
ENSG00000133392	MYH11	myosin heavy chain 11	16p13.11	protein_coding	5	374	1.34	569	16477	3.45	517	81	15.67	6	1.16	5	Cancer Gene Census
ENSG00000134853	PDGFRA	platelet derived growth factor receptor alpha	4q12	protein_coding	5	374	1.34	444	16477	2.69	517	13	2.51	46	8.90	6	Cancer Gene Census
ENSG00000135605	TEC	transient erythroblastopenia of childhood	4p12, 4p11	protein_coding	5	374	1.34	146	16477	0.89	517	11	2.13	51	9.86	6	Cancer Gene Census
ENSG00000141736	ERBB2	erb-b2 receptor tyrosine kinase 2	17q12	protein_coding	5	374	1.34	354	16477	2.15	517	22	4.26	30	5.80	5	Cancer Gene Census
ENSG00000143322	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	1q25.2	protein_coding	5	374	1.34	299	16477	1.81	517	54	10.44	25	4.84	5	Cancer Gene Census
ENSG00000147548	NSD3	nuclear receptor binding SET domain protein 3	8p11.23	protein_coding	5	374	1.34	297	16477	1.80	517	18	3.48	111	21.47	5	Cancer Gene Census
ENSG00000163629	PTPN13	protein tyrosine phosphatase non-receptor type 13	4q21.3	protein_coding	5	374	1.34	444	16477	2.69	517	7	1.35	51	9.86	5	Cancer Gene Census
ENSG00000165699	TSC1	TSC complex subunit 1	9q34.13	protein_coding	5	374	1.34	273	16477	1.66	517	9	1.74	139	26.89	5	Cancer Gene Census
ENSG00000169862	CTNND2	catenin delta 2	5p15.2	protein_coding	5	374	1.34	677	16477	4.11	517	128	24.76	6	1.16	5	Cancer Gene Census
ENSG00000171094	ALK	ALK receptor tyrosine kinase	2p23.2, 2p23.1	protein_coding	5	374	1.34	491	16477	2.98	517	55	10.64	12	2.32	5	Cancer Gene Census
ENSG00000173821	RNF213	ring finger protein 213	17q25.3	protein_coding	5	374	1.34	757	16477	4.59	517	31	6.00	46	8.90	5	Cancer Gene Census
ENSG00000178691	SUZ12	SUZ12 polycomb repressive complex 2 subunit	17q11.2	protein_coding	5	374	1.34	148	16477	0.90	517	22	4.26	28	5.42	5	Cancer Gene Census
ENSG00000186174	BCL9L	BCL9 like	11q23.3	protein_coding	5	374	1.34	347	16477	2.11	517	19	3.68	22	4.26	5	Cancer Gene Census
ENSG00000196498	NCOR2	nuclear receptor corepressor 2	12q24.31	protein_coding	5	374	1.34	514	16477	3.12	517	82	15.86	9	1.74	5	Cancer Gene Census
ENSG00000197299	BLM	BLM RecQ like helicase	15q26.1	protein_coding	5	374	1.34	261	16477	1.58	517	17	3.29	25	4.84	5	Cancer Gene Census
ENSG00000198286	CARD11	caspase recruitment domain family member 11	7p22.2	protein_coding	5	374	1.34	482	16477	2.93	517	126	24.37	12	2.32	5	Cancer Gene Census
ENSG00000204209	DAXX	death domain associated protein	6p21.32	protein_coding	5	374	1.34	179	16477	1.09	517	7	1.35	83	16.05	5	Cancer Gene Census
ENSG00000048471	SNX29	sorting nexin 29	16p13.13, 16p13.12	protein_coding	4	374	1.07	220	16477	1.34	517	77	14.89	6	1.16	4	Cancer Gene Census
ENSG00000051341	POLQ	DNA polymerase theta	3q13.33	protein_coding	4	374	1.07	530	16477	3.22	517	36	6.96	104	20.12	4	Cancer Gene Census
ENSG00000062822	POLD1	DNA polymerase delta 1, catalytic subunit	19q13.33	protein_coding	4	374	1.07	251	16477	1.52	517	33	6.38	8	1.55	4	Cancer Gene Census
ENSG00000082898	XPO1	exportin 1	2p15	protein_coding	4	374	1.07	196	16477	1.19	517	56	10.83	14	2.71	4	Cancer Gene Census
ENSG00000083093	PALB2	partner and localizer of BRCA2	16p12.2	protein_coding	4	374	1.07	234	16477	1.42	517	78	15.09	6	1.16	4	Cancer Gene Census
ENSG00000085276	MECOM	MDS1 and EVI1 complex locus	3q26.2	protein_coding	4	374	1.07	443	16477	2.69	517	58	11.22	57	11.03	4	Cancer Gene Census
ENSG00000095015	MAP3K1	mitogen-activated protein kinase kinase kinase 1	5q11.2	protein_coding	4	374	1.07	384	16477	2.33	517	119	23.02	10	1.93	4	Cancer Gene Census
ENSG00000097007	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	9q34.12	protein_coding	4	374	1.07	260	16477	1.58	517	10	1.93	131	25.34	4	Cancer Gene Census
ENSG00000100815	TRIP11	thyroid hormone receptor interactor 11	14q32.12	protein_coding	4	374	1.07	315	16477	1.91	517	5	0.97	195	37.72	5	Cancer Gene Census
ENSG00000101115	SALL4	spalt like transcription factor 4	20q13.2	protein_coding	4	374	1.07	373	16477	2.26	517	78	15.09	0	0.00	4	Cancer Gene Census
ENSG00000108654	DDX5	DEAD-box helicase 5	17q23.3	protein_coding	4	374	1.07	162	16477	0.98	517	35	6.77	23	4.45	4	Cancer Gene Census
ENSG00000116044	NFE2L2	nuclear factor, erythroid 2 like 2	2q31.2	protein_coding	4	374	1.07	331	16477	2.01	517	63	12.19	17	3.29	4	Cancer Gene Census
ENSG00000118515	SGK1	serum/glucocorticoid regulated kinase 1	6q23.2	protein_coding	4	374	1.07	213	16477	1.29	517	6	1.16	137	26.50	4	Cancer Gene Census
ENSG00000119397	CNTRL	centriolin	9q33.2	protein_coding	4	374	1.07	351	16477	2.13	517	9	1.74	113	21.86	4	Cancer Gene Census
ENSG00000128487	SPECC1	sperm antigen with calponin homology and coiled-coil domains 1	17p11.2	protein_coding	4	374	1.07	284	16477	1.72	517	16	3.09	44	8.51	4	Cancer Gene Census
ENSG00000131759	RARA	retinoic acid receptor alpha	17q21.2	protein_coding	4	374	1.07	147	16477	0.89	517	22	4.26	29	5.61	4	Cancer Gene Census
ENSG00000134352	IL6ST	interleukin 6 signal transducer	5q11.2	protein_coding	4	374	1.07	186	16477	1.13	517	122	23.60	11	2.13	4	Cancer Gene Census
ENSG00000137497	NUMA1	nuclear mitotic apparatus protein 1	11q13.4	protein_coding	4	374	1.07	358	16477	2.17	517	21	4.06	14	2.71	4	Cancer Gene Census
ENSG00000137812	KNL1	kinetochore scaffold 1	15q15.1	protein_coding	4	374	1.07	332	16477	2.01	517	14	2.71	36	6.96	4	Cancer Gene Census
ENSG00000138336	TET1	tet methylcytosine dioxygenase 1	10q21.3	protein_coding	4	374	1.07	452	16477	2.74	517	12	2.32	68	13.15	4	Cancer Gene Census
ENSG00000139219	COL2A1	collagen type II alpha 1 chain	12q13.11	protein_coding	4	374	1.07	408	16477	2.48	517	88	17.02	4	0.77	4	Cancer Gene Census
